產品碼,產品名稱,選項,預期,已計算
1101,"B2857580----夢幻公主 蕾絲花邊二件式睡衣-黑----1101",,3.0000,
1102,"B3870614----悸動時刻 露背性感睡衣二件組-粉----1102",,3.0000,
1103,"B3287949----純真娃娃 柔緞甜美七分袖罩衫三件組-粉橘----1103",,3.0000,
1104,"B3889907----相思期盼 柔緞睡襯衣單件式-白----1104",,3.0000,
1105,hotnew02----日本HOT欲優名器雙穴陰臀倒模自慰器-奧田咲(贈送寫真DVD)----1105,,3.0000,
1106,"F0322087----浪漫情懷 性感顯瘦超薄加檔連褲絲襪（黑）----1106",,3.0000,
1107,"F0312090----點點星鑽 性感迷人彈性鑲鑽連褲網襪（黑）----1107",,3.0000,
1108,"F0322089-1----蠱惑魅力 性感加檔連體絲襪（肉）----1108",,3.0000,
1109,"F0631010----勝利女神 V字圖案性感連褲襪-黑----1109",,3.0000,
111,8450----多功能舒眠眼罩----111,,3.0000,
1110,"F0631007----幸福圓滿 流行雙排洞洞性感連褲襪-黑----1110",,3.0000,
1111,"F0631006----別有洞天 流行洞洞點綴性感連褲襪-黑----1111",,3.0000,
1112,"F0631009----懷舊之旅 豎條紋性感連褲襪-黑----1112",,3.0000,
1113,"F0631005----異域風情 壁畫圖案性感連褲襪-黑----1113",,3.0000,
1114,"F0430163----情定經典 時尚波點九分褲-黑+白----1114",,3.0000,
1115,"F0631002----花容月貌 花朵圖案性感連褲襪-黑----1115",,3.0000,
1116,"F0430162----知心愛人 多色心形圖案可愛九分褲-彩色----1116",,3.0000,
1117,"F0430160----牛仔部落 經典牛仔時尚仿皮九分褲-牛仔藍----1117",,3.0000,
1118,"F0430161----花語戀情 花朵圖案時尚仿皮九分褲-黑底棕色----1118",,3.0000,
1119,"F0430159----簡愛 時尚百搭九分褲-銀灰----1119",,3.0000,
112,8702----蒸汽唇膜----112,,3.0000,
1120,"F0430157----溫馨呵護 彩色條紋星星時尚九分褲-彩色----1120",,3.0000,
1121,"F0430158----歐美風尚 涂鴉式歐美時尚仿皮九分褲-栗紅色----1121",,3.0000,
1122,"sqweel----英國 LoveHoney Sqweel  甜心寶貝前戲專用拉舌模擬器----1122",,3.0000,
1123,"F0430156----粉戀伊人 甜美花束圖案九分褲-黑+粉----1123",,3.0000,
1124,"F0430153----綁定情結 可愛蝴蝶結九分褲-黑+紅----1124",,3.0000,
1125,"F0430155----兩情相對 玫瑰提花蕾絲仿皮九分褲-黑----1125",,3.0000,
1126,"F0430152----抒寫戀語 時尚英文字母百搭九分褲-黑+白----1126",,3.0000,
1127,"F0430150----夜媚情話 時尚百搭九分褲-黑----1127",,3.0000,
1128,"F0430151----瑰姿艷逸 玫瑰蕾絲九分褲-黑----1128",,3.0000,
1129,"F0531003----激情撞色 雙色細網顯瘦連褲襪（墨綠+黑色）----1129",,3.0000,
113,8931----硅胶耳穴减肥按摩棒----113,,3.0000,
1130,"F0531004----激情撞色 雙色細網顯瘦連褲襪（白色+黑色）----1130",,3.0000,
1131,"F0531002----激情撞色 雙色細網顯瘦連褲襪（咖啡+黑色）----1131",,3.0000,
1132,"F0531005----激情撞色 雙色細網顯瘦連褲襪（淺綠+黑色）----1132",,3.0000,
1133,ly71947----10頻振動防水跳蛋(E-愛瓦)----1133,,3.0000,
1134,"F0531001----激情撞色 雙色細網顯瘦連褲襪（桃紅+黑色）----1134",,3.0000,
1135,ia3009----臻金銀綵係列之愛/天使（究極奢龍袖珍型AV棒）----1135,,3.0000,
1136,F0312012----極限挑戰經典露臀連褲網襪-黑----1136,,3.0000,
1137,F0322010----浪漫絲般柔滑露臀平板連褲絲襪-黑----1137,,3.0000,
1138,F0322011-2----赤裸風情蕾絲花邊吊帶露臀絲襪-黑----1138,,3.0000,
1139,F0312068-2----埃及艷後鏤空連褲中網網襪-黑色----1139,,3.0000,
114,8859----蝴蝶结流海贴----114,,3.0000,
1140,F0322011-1----欲望澀女郎蕾絲吊帶露臀絲襪-黑----1140,,3.0000,
1141,F0312068-1----埃及艷後鏤空連褲細網網襪-黑色----1141,,3.0000,
1142,F0312068-3----埃及艷後鏤空連褲中小網網襪-黑色----1142,,3.0000,
1143,F0312011-2----赤裸風情蕾絲花邊吊帶露臀中小網網襪-黑----1143,,3.0000,
1144,"B2870409----夢幻寶貝 單件式質感條紋連身裙-粉----1144",,3.0000,
1145,"B2760508----月色情話 層層蕾絲性感睡衣兩件組-黑----1145",,3.0000,
1146,"B2744334----柔情愛戀 蛋糕裙性感睡衣兩件式-粉----1146",,3.0000,
1147,"B2769721----神秘女人 紫色露背性感睡衣兩件式-紫----1147",,3.0000,
1148,"B2785112----舞動天鵝 單件式蕾絲性感馬甲組-咖----1148",,3.0000,
1149,"B2769680----調皮小妖精 單件式連身裙-豹紋----1149",,3.0000,
115,8849----流海无痕魔法发帖----115,,3.0000,
1150,"B2769681----甜心物語 水玉誘惑前衩睡衣單件式-粉----1150",,3.0000,
1151,"B2769679----浪漫情人 柔嫩玫瑰單件連身裙-粉----1151",,3.0000,
1152,"B2785110----繽紛樂園 彩色泡泡居家睡衣兩件組-白----1152",,3.0000,
1153,"B2675733----純情公主 蕾絲花邊二件式睡衣-白----1153",,3.0000,
1154,"B2744365----純色物語 比基尼睡衣三件組-黑白----1154",,3.0000,
1155,"B2656923----輕柔愛戀 單件式蕾絲柔緞性感睡衣-紫----1155",,3.0000,
1156,"B2510994----忘情愛戀 單件式柔緞性感睡衣-玫紅----1156",,3.0000,
1157,"B2656927----純粹愛戀 柔情睡衣+睡袍二件組(白)----1157",,3.0000,
1158,"B2542889----美人心機 時尚馬甲兩件組-黑白條紋----1158",,3.0000,
1159,"B2628398----甜美動心 蕾絲夢幻睡衣兩件組-粉----1159",,3.0000,
116,8566----桑拿瘦腿带----116,,3.0000,
1160,"B2581581----初雪之戀 比基尼短裙三件組-紅白----1160",,3.0000,
1161,"B2610001----嬌柔愛戀 單件式荷葉百褶柔緞睡衣-桃----1161",,3.0000,
1162,"B2628619----深刻愛戀 繞頸蕾絲性感睡衣兩件組-粉----1162",,3.0000,
1163,"dna2----瑪麗卡淫名器 日本原裝進口女星代言3D構造成人用品性用品----1163",,3.0000,
1164,F0312011-1----欲望澀女郎蕾絲吊帶露臀中小網網襪-黑----1164,,3.0000,
1165,"HC8901041----幸福年代 10段變頻G點後庭雙功能按摩棒-黑----1165",,3.0000,
1166,"BE1108028----魅惑佳麗 簡約長袖寬松式柔緞睡衣（紫）----1166",,3.0000,
1167,"B2231068----柔情蜜桃 蕾絲比基尼睡衣兩件式-桃----1167",,3.0000,
1168,"B2149952----花情戀語 裸透情趣比基尼睡衣兩件式-粉----1168",,3.0000,
1169,"B2066496----甜美絕色 比基尼性感睡衣三件組-粉----1169",,3.0000,
117,8627----化妆美容放大镜----117,,3.0000,
1170,"B2126764----深V引誘 單件式比基尼情趣睡衣-黑白----1170",,3.0000,
1171,"B2157143----法國娃娃 裸背性感睡衣兩件組-粉----1171",,3.0000,
1172,"rombee----荷蘭Feelztoys Rombee羅比按摩棒棒 前後兼用 後庭拉鍊----1172",,3.0000,
1173,"B2628617----無盡相思 菱格紋柔紗睡衣兩件組-黑----1173",,3.0000,
1174,"B2543033----挑情野宴 單件式後V連身情趣睡衣-白----1174",,3.0000,
1175,"B2595461----深情絕戀 單件式蕾絲美胸性感睡衣-粉----1175",,3.0000,
1176,"B2444698----巴黎圓舞曲 繡花蕾絲荷葉睡衣兩件式-黑----1176",,3.0000,
1177,"B2383491----勾魂天使 比基尼睡衣二套組-紫紅----1177",,3.0000,
1178,"B2457111----曖昧語言 前衩美胸性感睡衣兩件式-黑----1178",,3.0000,
1179,"B2437395----愛情定律 單件式夢幻深V性感睡衣-紫----1179",,3.0000,
118,8641----乱发造型梳----118,,3.0000,
1180,"B2476929----迷戀情懷 單件式花漾緞面性感睡衣-紫----1180",,3.0000,
1181,"B2240870----柔戀心機 單件式前衩蕾絲柔緞性感睡衣-粉橘----1181",,3.0000,
1182,"B2240869----公主夢境 單件式蕾絲柔緞性感睡衣-粉----1182",,3.0000,
1183,"B2383490----紅艷魅情 蕾絲開衩荷葉比基尼睡衣兩件式-黑紅----1183",,3.0000,
1184,"B2365422----浪漫舞伶 低胸綁帶性感睡衣兩件組-黑桃----1184",,3.0000,
1185,"B2400866----粉戀誘惑 荷葉比基尼性感睡衣兩件式-粉----1185",,3.0000,
1186,"B2400885----性感魅惑 美背性感睡衣兩件組-黑----1186",,3.0000,
1187,"B2365423----雪戀風情 單件式繡花美背性感睡衣-紫----1187",,3.0000,
1188,"B2365425----華麗美感 柔紗前衩性感睡衣兩件式-紫----1188",,3.0000,
1189,"B1820896----甜橘戀心 襯裙 睡袍兩件組-橘----1189",,3.0000,
119,8580----大齿梳----119,,3.0000,
1190,"B2284517----勾魂誘惑 蕾絲網紗性感睡衣兩件式-黑----1190",,3.0000,
1191,"B2319923----偷心小妖姬 裸透網紗性感睡衣兩件組-黑紅----1191",,3.0000,
1192,"B2240812----嬌嫩玉肌 單件式柔緞裸背性感睡衣-白----1192",,3.0000,
1193,"B2240810----峰漾魅影 美胸網紗情趣睡衣兩件式-黑----1193",,3.0000,
1194,"B2240809----魅紫夢露 側衩美背網紗性感睡衣兩件式-紫----1194",,3.0000,
1195,"B2231070----法式珠寶盒 單件式情趣連身睡衣-黑桃----1195",,3.0000,
1196,"B3288005----熱辣小妖姬 網紗性感睡衣兩件式-豹紋----1196",,3.0000,
1197,GB0033----冈本003(黄金超薄)2片装----1197,,3.0000,
1198,GB0039----岡本0.03(蘆薈超薄)6片裝----1198,,3.0000,
1199,"toasted----加拿大INTIMATE|ORGANICS純天然可食用果味熱感口交潤滑液(坚果味120ml )----1199",,3.0000,
12,"tara----瑞典LELO TARA G點陰蒂雙重刺激共震器----12",,3.0000,
120,9341----美鼻二合一组合套装----120,,3.0000,
1200,"OH0672----小名器III 妃悠爱----1200",,3.0000,
1201,"OH0296----日本NPG 妃悠愛精英名器 肛、陰、口、宮頸極限四重門----1201",,3.0000,
1202,LT0388----小泽玛利亚爱液II----1202,,3.0000,
1203,LT0368----妃悠爱の爱液II----1203,,3.0000,
1204,"015224----日本JEX 稍稍清凉 USU-USU Menthol 500安全套 6个装----1204",,3.0000,
1205,"golden----德國金剛噴霧劑 男性外用延長性交做愛時間必備----1205",,3.0000,
1206,"013041----日本Toysheart Love Shake Real真實快感自慰器 男士極品----1206",,3.0000,
1207,"526138----日本Toysheart 靈感防水震蛋 (黑色)----1207",,3.0000,
1208,"231191----日本冈本Okamoto Powdom 1000 冈本粉状润滑12片----1208",,3.0000,
1209,"626197----日本＊ANAL ACE鍍銀葫蘆型A級後庭短跳蛋(紫)----1209",,3.0000,
121,9303----内衣文胸多功能衣架----121,,3.0000,
1210,"026126----日本TH ＊ Anal Buster 后庭穿戴式安摩器 (男女都适用)----1210",,3.0000,
1211,"613166----日本原裝ToysHeart HotMilk 熱牛奶自慰器-素材柔如肌膚富有彈性耐用----1211",,3.0000,
1212,"526145----日本Toysheart 靈感防水震蛋 (粉色)----1212",,3.0000,
1213,"526176----日本Toysheart 灵感防水震蛋 (粉蓝色)----1213",,3.0000,
1214,"626050----日本Toys Heart靈感防水震蛋-紫色----1214",,3.0000,
1215,"226052----日本ToysHeart G點按摩棒 透明藍色----1215",,3.0000,
1216,"019727----日本JEX 0.02MM 超安全套避孕套 6片装----1216",,3.0000,
1217,"526183----日本Toysheart 灵感防水震蛋 (粉綠色)----1217",,3.0000,
1218,"226069----日本ToysHeart G點按摩棒 透明粉色----1218",,3.0000,
1219,"TOY-2702457----日本mighty Sparrow 阴部剌激按摩器-立即进入女性高潮快感----1219",,3.0000,
122,9266----提臀带（黑色）----122,,3.0000,
1220,"226076----日本ToysHeart G點按摩棒 透明色----1220",,3.0000,
1221,"626289----日本Toys Heart WX10遥控震蛋----1221",,3.0000,
1222,"926136----日本Toys Heart WV-5 顶级无线遥控跳蛋-白色----1222",,3.0000,
1223,"626012----日本 Toysheart Nano Rotar 迷你超小跳蛋 可爱静音 (白色)----1223",,3.0000,
1224,"626029----日本 Toysheart Nano Rotar 迷你超小跳蛋 可爱静音 (黑色)----1224",,3.0000,
1225,"926150----日本 Toysheart Nano Rotar 迷你超小跳蛋 可爱静音 (可爱粉色)----1225",,3.0000,
1226,"926167----日本 Toysheart Nano Rotar 迷你超小跳蛋 可爱静音 (粉蓝色)----1226",,3.0000,
1227,"913051----日本th＊SI-X Type.R黑色快超柔軟快感自慰器＊逼真的肉感----1227",,3.0000,
1228,"211690----日本進口 卡通美少女避孕套延時持久型6片裝----1228",,3.0000,
1229,"013058----日本LOVE Shake G点式刺激夹吸自慰器----1229",,3.0000,
123,9242----橄榄香皂100g----123,,3.0000,
1230,"718113----日本RAN AMANO 天野兰 真实比例 巨乳学生妹充气女娃　半实体----1230",,3.0000,
1231,"818011----[日本原装]ToysHeart 天野友里亚 超立体3D巨乳充气娃娃 半实体----1231",,3.0000,
1232,"513077----[日本原裝]ToysHeart 17歲 雙層材質3D倒模自慰器----1232",,3.0000,
1233,"913112----[日本原裝]ToysHeart 17歲自慰器升級版 日本人氣NO.1----1233",,3.0000,
1234,211701----日本EXE-Ｓ級女優極品仿真Ｃ乳房-橫山美雪----1234,,3.0000,
1235,"713040----日本TOYSHEART 7歲 緊實系列 3D模擬自慰器----1235",,3.0000,
1236,613210----[日本进口]Toysheart人妻熟女双层构造自慰器----1236,,3.0000,
1237,"813085----日本ToysHeart 初夜心跳 3D男用自慰器 高模擬陰部 夾吸式通道設計----1237",,3.0000,
1238,LN10----20段防水靜音無線遙控跳蛋----1238,,3.0000,
1239,"713262----[日本原装]Toys Heart 口技专家 双层材质 口交自慰器----1239",,3.0000,
124,9235----美白黄瓜皂100g----124,,3.0000,
1240,LN04----狼牙套（霸王枪）----1240,,3.0000,
1241,"713057----【日本进口】TOYSHEART 11岁 初潮之倾 超密集双层自慰器----1241",,3.0000,
1242,"515002----日本 Toysheart WILD STROKER 一滴不留 往复式超快感自慰器----1242",,3.0000,
1243,"rsml----日本RENDS R-1系列A10活塞配件(M-L)----1243",,3.0000,
1244,"913013----日本原装ToysHeart 女之吐息 大凸粒高紧迫自慰胶 3D男用自慰器----1244",,3.0000,
1245,"813092----日本 进口 葵の蚯蚓之巢 异次元快感非贯通自慰器----1245",,3.0000,
1246,"013188----日本Toysheart Miss. LOCO 小麦色3D自慰器 紧紧咬住的感觉----1246",,3.0000,
1247,"013010----日本ToysHeart＊Peach-Pai 初熟桃子 棉花弹性素材 男用自慰胶----1247",,3.0000,
1248,"QT-000001----日本TH＊Q-TO 2 紫真珠 超快感体验 自慰杯----1248",,3.0000,
1249,"016011----日本TH ＊ Meiki-Syouten 名器升天●昭和の名作 電震動自慰器----1249",,3.0000,
125,9228----芦荟香皂----125,,3.0000,
1250,"kk02----日本MODE★SmartStick 智能棒5段變頻螺旋震動棒(紫)----1250",,3.0000,
1251,"915024----日本TH ＊ FREE STYLE自由式快感电动手电筒自慰器----1251",,3.0000,
1252,"512018----日本TH＊AYA 2 彩弐电动吸吮快感自慰器----1252",,3.0000,
1253,"812019----日本TH震动夹吸★春咲あずみ之爱★真正双层构造 电动自慰器----1253",,3.0000,
1254,"FYA503----繽紛暢享系列 動感波波兔 迷你兔耳逗逗棒----1254",,3.0000,
1255,"FYA502----繽紛暢享系列 激點淘氣龜 強刺激凸點挑逗棒----1255",,3.0000,
1256,"915017----日本Toys Heart Zeke電動一體型男用按摩自慰器----1256",,3.0000,
1257,"216084----日本Toyshear爱咪甜心自爱器 超级电动自慰器----1257",,3.0000,
1258,"715013----日本Toysheart M-STROKER NEO 往復式吸夾自慰器 ★1分間/約500回★----1258",,3.0000,
1259,"316022----日本 ROTARY@快乐漩涡 回转式超快感 电动自慰器----1259",,3.0000,
126,"soothe----加拿大INTIMATE ORGANICS後庭抗菌潤滑油劑120ml----126",,3.0000,
1260,"115011----日本原装deep throat深喉式口交自慰器 享受高超的舌技----1260",,3.0000,
1261,"215025----日本 MAGNU STROKER 往复式吸吮口交女秘书★1分间/约300回★----1261",,3.0000,
1262,"516023----日本MIMIZU 千匹 1000電動震動王*熱賣品----1262",,3.0000,
1263,"315015----日本 BOBSACK@ 快感弹射 往复式超快感电动自慰器----1263",,3.0000,
1264,"316029----日本TRIPLE PLEASURE 三倍快感电动自慰器 口交 乳房 阴道三个部位齐全----1264",,3.0000,
1265,votarpink----幸福双截棍（粉色）----1265,,3.0000,
1266,"315039----日本TH 吸啜電動震動器-七種震動頻率----1266",,3.0000,
1267,612015----日本TH＊快感極樂自慰器----1267,,3.0000,
1268,"215032----日本 一千個蚯蚓 七段式電動振動自慰器----1268",,3.0000,
1269,"QT-000002----日本TH＊Q-TO 2 二宫沙树 超快感体验 自慰杯----1269",,3.0000,
127,9211----黄杏香皂100g----127,,3.0000,
1270,"917042----[日本原装]Toys Heart 爱内梨花 仿真女体阴部 男用自慰器----1270",,3.0000,
1271,LN07----狼牙套（龙鳞甲）----1271,,3.0000,
1272,560067----[日本Toysheart]生中出-爆乳3D夾吸自慰-小板----1272,,3.0000,
1273,mu10----mushroom便攜式男用飛機杯自慰軟膠蛋小蘑菇(臀園波浪)----1273,,3.0000,
1274,rt0954----日本NPG★SULIRER-No.2《男女雙用電動按摩器》★震動按摩器----1274,,3.0000,
1275,"231177----日本冈本Okamoto Jelldom 1000 冈本双倍润滑安全套12片----1275",,3.0000,
1276,"384645----日本冈本Okamoto Super Big Boy 冈本男士大码3片----1276",,3.0000,
1277,"210905----日本冈本Benetton 6 片装----1277",,3.0000,
1278,"689627----[日本原裝進口]Jex Epoca新紀元超強殺精避孕套6個裝----1278",,3.0000,
1279,"cobralibre----德國fun factory Cobralibre 2代仿真紅唇電動飛機口交自慰器----1279",,3.0000,
128,9204----石榴皂100g----128,,3.0000,
1280,"684349----日本冈本No Touch安全套避孕套10片★配戴无手接触防细菌----1280",,3.0000,
1281,"231948----日本冈本 Okamoto Dot De Cool 冈本凸凸清凉三片装----1281",,3.0000,
1282,"677273----日本冈本OKAMOTO Rilakkuma懒懒熊安全套2 十个装 避孕套----1282",,3.0000,
1283,"019734----日本JEX 0.02MM 超安全套避孕套 4片装----1283",,3.0000,
1284,"014135----日本JEX 稍稍清凉 USU-USU Menthol 1000安全套 12个装----1284",,3.0000,
